Name,UID,Code,shortName,Description
"Step Prescription 5,000 steps/day",,,"Step Prescription 5,000 steps/day",
"Step Prescription 7,500 steps/day",,,"Step Prescription 7,500 steps/day",
"Step Prescription 10,000 steps/day",,,"Step Prescription 10,000 steps/day",
