Name,UID,Code,shortName,Description
NCD Client Registered,,,NCD Client Registered,
"NCD Client Achieving Less than 5,000 Average Daily Steps",,,"NCD Client Achieving Less than 5,000 Average Daily Steps",
"NCD Client Achieving 5,000–7,499 Average Daily Steps",,,"NCD Client Achieving 5,000–7,499 Average Daily Steps",
"NCD Client Achieving 7,500–9,999 Average Daily Steps",,,"NCD Client Achieving 7,500–9,999 Average Daily Steps",
"NCD Client Achieving 10,000 or More Average Daily Steps",,,"NCD Client Achieving 10,000 or More Average Daily Steps",
